id,track_name,artist_name,genre,year,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness
1,Feel Good Inc.,Gorillaz,Hip-Hop,2023,0.818,0.705,0.772,138.559,0.00836,0.00233,0.613,0.177
2,Rhinestone Eyes,Gorillaz,Pop,2023,0.676,0.703,0.852,92.761,0.0869,0.000687,0.0463,0.0302
3,New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,Pop,2023,0.695,0.923,0.551,108.014,0.0425,0.0469,0.116,0.0522
4,On Melancholy Hill,Gorillaz,Electronic,2023,0.689,0.739,0.578,120.423,1.51e-05,0.509,0.064,0.026
5,Clint Eastwood,Gorillaz,Hip-Hop,2023,0.663,0.694,0.525,167.953,0.0253,0.0,0.0698,0.171
6,DARE,Gorillaz,Pop,2023,0.76,0.891,0.966,120.264,0.0229,0.0869,0.298,0.0372
7,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,Gorillaz,Pop,2023,0.716,0.897,0.358,127.03,0.012,0.262,0.325,0.0629
8,She's My Collar (feat. Kali Uchis),Gorillaz,Pop,2023,0.726,0.815,0.462,140.158,0.00799,0.081,0.112,0.0313
9,Cracker Island (feat. Thundercat),Gorillaz,Pop,2023,0.741,0.913,0.643,120.012,0.00343,0.103,0.325,0.0465
10,Dirty Harry,Gorillaz,Hip-Hop,2023,0.625,0.877,0.865,192.296,0.0315,0.0811,0.672,0.162
11,Californication,Red Hot Chili Peppers,Rock,2023,0.592,0.767,0.328,96.483,0.0021,0.00165,0.127,0.027
12,Under the Bridge,Red Hot Chili Peppers,Pop,2023,0.559,0.345,0.458,84.581,0.0576,0.000105,0.141,0.0459
13,Can't Stop,Red Hot Chili Peppers,Pop,2023,0.618,0.938,0.875,91.455,0.0179,0.0,0.167,0.0456
14,Scar Tissue,Red Hot Chili Peppers,Rock,2023,0.595,0.717,0.547,88.969,0.0779,0.00274,0.108,0.0295
15,Otherside,Red Hot Chili Peppers,Rock,2023,0.458,0.795,0.513,123.229,0.00316,0.000202,0.0756,0.0574
